batter,match_id,date,match_format,batting_team,bowling_team,venue,runs_scored,balls_faced,boundaries,batting_position,career_runs_avg,career_balls_faced,career_total_runs,career_strike_rate,career_matches,ema_form,recent_form_5,form_momentum,consistency,scored_50,career_50_rate,career_boundary_rate,quick_out,career_quick_out_rate,venue_avg_runs,is_t20,is_odi,opp_attack_hist_runs,opp_attack_hist_balls,opp_attack_hist_dismiss,opp_attack_hist_sr
A Ashish Reddy,980953,2016-04-30,IPL,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2,3,0,7,12.636363636363637,193.0,278.0,144.04145077720207,22,17.625542106641696,18.0,3.0649961922408924,0.6311323339159083,0,0.0,0.16062176165803108,1,0.4090909090909091,9.1,1,0,1.0,2.0,1.0,50.0
A Athanaze,1479570,2025-10-10,Test,West Indies,India,"Arun Jaitley Stadium, Delhi",48,101,7,3,55.833333333333336,698.0,335.0,47.99426934097421,6,51.27338780145316,52.0,-4.852559063473805,0.7814720261089615,0,0.6666666666666666,0.06303724928366762,0,0.0,48.0,0,0,97.0,198.0,3.0,48.98989898989899
A Badoni,1473499,2025-05-19,IPL,Lucknow Super Giants,Sunrisers Hyderabad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,5,0,5,21.333333333333332,735.0,960.0,130.6122448979592,45,45.82560877811974,43.4,23.579698469482597,0.6143077824209587,0,0.13333333333333333,0.1510204081632653,1,0.3111111111111111,23.3125,1,0,12.0,10.0,0.0,120.0
A Balbirnie,1415708,2024-06-05,T20,Ireland,India,"Nassau County International Cricket Stadium, New York",5,11,1,1,26.0,118.0,156.0,132.20338983050848,6,36.79136874101123,29.0,16.51339247921109,0.4525552396987084,0,0.3333333333333333,0.1864406779661017,0,0.5,0.0,1,0,17.0,10.0,1.0,170.0
A Chandila,598023,2013-04-20,IPL,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,4,6,0,8,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,1.0,0.0,1,0,0.0,0.0,0.0,0.0
A Chopra,392184,2009-04-19,IPL,Kolkata Knight Riders,Deccan Chargers,Newlands,11,20,2,5,8.4,55.0,42.0,76.36363636363637,5,6.412390465543975,8.4,-3.2917389074747856,0.45615015606875514,0,0.0,0.09090909090909091,0,0.6,0.0,1,0,4.0,17.0,0.0,23.52941176470588
A Choudhary,1082633,2017-05-05,IPL,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,4,6,0,10,10.5,14.0,21.0,150.0,2,11.294117647058824,10.5,1.2631578947368425,0.03225806451612903,0,0.0,0.14285714285714285,1,0.5,15.0,1,0,0.0,0.0,0.0,0.0
A Dananjaya,1442991,2024-08-04,ODI,Sri Lanka,India,"R Premadasa Stadium, Colombo",15,13,2,9,7.5,90.0,60.0,66.66666666666666,8,9.08853284217079,7.6,3.083974738208097,0.5791022318972614,0,0.0,0.07777777777777778,0,0.5,7.666666666666667,0,1,30.0,33.0,2.0,90.9090909090909
A Dutt,1512754,2026-02-18,T20,Netherlands,India,"Narendra Modi Stadium, Ahmedabad",0,1,0,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
A Flintoff,392189,2009-04-23,IPL,Chennai Super Kings,Delhi Daredevils,Kingsmead,16,18,1,5,23.0,39.0,46.0,117.94871794871796,2,22.823529411764707,23.0,-0.2807017543859658,0.03225806451612903,0,0.0,0.15384615384615385,0,0.0,8.0,1,0,4.0,13.0,0.0,30.76923076923077
A Flower,65250,2003-02-19,ODI,Zimbabwe,India,Harare Sports Club,22,58,1,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
A Kamboj,1448352,2025-07-23,Test,India,England,"Old Trafford, Manchester",0,3,0,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
A Kumble,419162,2010-04-21,IPL,Royal Challengers Bangalore,Mumbai Indians,Dr DY Patil Sports Academy,1,3,0,11,2.4285714285714284,46.0,34.0,73.91304347826086,14,1.6675376277484588,1.2,-0.8218916905287696,0.4962462209959457,0,0.0,0.06521739130434782,1,1.0,0.0,1,0,0.0,0.0,0.0,0.0
A Manohar,1473503,2025-05-23,IPL,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",12,12,1,7,14.736842105263158,231.0,280.0,121.21212121212122,19,16.601466869829153,11.4,9.174581435576584,0.43195950426899793,0,0.0,0.15584415584415584,0,0.47368421052631576,3.0,1,0,8.0,6.0,1.0,133.33333333333331
A Martin,536929,2011-11-29,ODI,West Indies,India,Barabati Stadium,3,8,0,11,1.0,4.0,2.0,50.0,2,0.8235294117647058,1.0,-0.280701754385965,0.03225806451612903,0,0.0,0.0,1,1.0,0.0,0,1,0.0,0.0,0.0,0.0
A McGrath,65034,2004-09-05,ODI,England,India,Lord's,2,8,0,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
A Mhatre,1473504,2025-05-25,IPL,Chennai Super Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",34,18,6,1,34.333333333333336,113.0,206.0,182.3008849557522,6,35.37443942376673,34.8,0.9330887062485402,0.5067210849106314,0,0.16666666666666666,0.3185840707964602,0,0.3333333333333333,0.0,1,0,0.0,0.0,0.0,0.0
A Mishra,1359517,2023-05-01,IPL,Lucknow Super Giants,Royal Challengers Bangalore,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19,30,2,9,6.703703703703703,410.0,362.0,88.29268292682927,54,5.20422107564965,4.4,-0.906741670935383,0.6329746738851251,0,0.0,0.08292682926829269,0,0.6851851851851852,0.0,1,0,5.0,10.0,0.0,50.0
A Mithun,598057,2013-05-12,IPL,Royal Challengers Bangalore,Kolkata Knight Riders,JSCA International Stadium Complex,2,2,0,9,6.4,24.0,32.0,133.33333333333331,5,7.984025098265479,6.4,2.321799223462186,0.5929672310846879,0,0.0,0.20833333333333334,1,0.6,0.0,1,0,6.0,1.0,0.0,600.0
A Mukund,1109602,2017-07-26,Test,India,Sri Lanka,Galle International Stadium,93,143,10,2,42.07692307692308,1267.0,547.0,43.17284925019732,13,43.764999241643395,26.2,13.525541923958343,0.5800305100693697,1,0.38461538461538464,0.04419889502762431,0,0.0,93.0,0,0,0.0,0.0,0.0,0.0
A Nehra,980983,2016-05-12,IPL,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",1,1,0,9,2.5,62.0,40.0,64.51612903225806,16,0.5660492764496994,0.2,-1.6679550865831179,0.31778173938308985,0,0.0,0.06451612903225806,1,0.9375,0.5,1,0,0.0,0.0,0.0,0.0
A Nel,293077,2007-06-29,ODI,South Africa,India,"Civil Service Cricket Club, Stormont",1,3,0,8,11.0,14.0,22.0,157.14285714285714,2,9.058823529411764,11.0,-3.0877192982456156,0.03225806451612903,0,0.0,0.21428571428571427,1,0.5,0.0,0,1,10.0,9.0,0.0,111.11111111111111
A Nortje,1479578,2025-12-14,T20,South Africa,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",12,12,1,9,1.0,12.0,5.0,41.66666666666667,5,1.0901157549313043,1.0,0.05919269370711322,0.585786437626905,0,0.0,0.0,0,1.0,0.0,1,0,1.0,2.0,1.0,50.0
A Phillip,1479570,2025-10-10,Test,West Indies,India,"Arun Jaitley Stadium, Delhi",26,103,2,10,26.0,103.0,26.0,25.24271844660194,1,26.0,26.0,0.0,0.03225806451612903,0,0.0,0.019417475728155338,0,0.0,26.0,0,0,0.0,0.0,0.0,0.0
A Raghuvanshi,1473505,2025-05-25,IPL,Kolkata Knight Riders,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",14,19,1,4,26.41176470588235,307.0,449.0,146.2540716612378,17,25.46372097878158,30.6,-6.316234438324141,0.6376890585898629,0,0.11764705882352941,0.1986970684039088,0,0.23529411764705882,44.0,1,0,0.0,0.0,0.0,0.0
A Shahzad,433568,2011-02-27,ODI,England,India,M Chinnaswamy Stadium,6,2,1,10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
A Sharafu,1496921,2025-09-10,T20,United Arab Emirates,India,Dubai International Cricket Stadium,22,18,4,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0.0,0.0
A Simelane,1449304,2024-11-15,T20,South Africa,India,"The Wanderers Stadium, Johannesburg",2,5,0,7,6.0,17.0,18.0,105.88235294117648,3,5.863013698630137,6.0,-0.24881391671059738,0.8571428571428571,0,0.0,0.11764705882352941,1,0.6666666666666666,0.0,1,0,10.0,11.0,2.0,90.9090909090909
A Singh,548317,2012-04-11,IPL,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,0,3,0,9,0.5,7.0,2.0,28.57142857142857,4,0.5882352941176471,0.5,0.14035087719298245,0.4641016151377546,0,0.0,0.0,1,1.0,0.0,1,0,0.0,0.0,0.0,0.0
A Symonds,501256,2011-05-14,IPL,Mumbai Indians,Deccan Chargers,Wankhede Stadium,8,19,0,5,27.6,762.0,966.0,126.77165354330708,35,10.195401121175902,7.2,-11.67740022614532,0.5201524046885151,0,0.17142857142857143,0.15091863517060367,0,0.22857142857142856,11.0,1,0,171.0,194.0,7.0,88.14432989690721
A Tomar,1304112,2022-05-18,IPL,Kolkata Knight Riders,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",4,8,1,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
A Uniyal,419111,2010-03-15,IPL,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",4,6,0,8,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,1.0,0.0,1,0,0.0,0.0,0.0,0.0
A Zampa,1478910,2025-11-06,T20,Australia,India,Carrara Oval,0,1,0,11,2.5,6.0,5.0,83.33333333333334,2,2.235294117647059,2.5,-0.42105263157894735,0.03225806451612903,0,0.0,0.16666666666666666,1,1.0,0.0,1,0,0.0,0.0,0.0,0.0
AA Bilakhia,419141,2010-04-05,IPL,Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",2,4,0,7,11.166666666666666,84.0,67.0,79.76190476190477,6,9.683914904612791,11.0,-2.1442080933244263,0.6018600945104933,0,0.0,0.05952380952380952,1,0.3333333333333333,0.0,1,0,0.0,0.0,0.0,0.0
