venue,is_t20,is_odi,venue_avg_first_innings
AMI Stadium,0,1,392.0
AMI Stadium,1,0,162.0
Adelaide Oval,0,0,359.0
Adelaide Oval,0,1,262.0
Adelaide Oval,1,0,180.0
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,0,1,259.0
Arbab Niaz Stadium,0,1,286.0
Arun Jaitley Stadium,0,0,231.0
Arun Jaitley Stadium,0,1,287.5
Arun Jaitley Stadium,1,0,168.06666666666666
"Arun Jaitley Stadium, Delhi",0,0,390.5
"Arun Jaitley Stadium, Delhi",0,1,99.0
"Arun Jaitley Stadium, Delhi",1,0,202.44
Bangabandhu National Stadium,0,0,184.0
Bangabandhu National Stadium,0,1,348.0
Barabati Stadium,0,1,296.5
Barabati Stadium,1,0,160.66666666666666
"Barabati Stadium, Cuttack",0,1,275.0
"Barabati Stadium, Cuttack",1,0,161.5
Barsapara Cricket Stadium,0,1,322.0
Barsapara Cricket Stadium,1,0,118.0
"Barsapara Cricket Stadium, Guwahati",0,0,489.0
"Barsapara Cricket Stadium, Guwahati",0,1,373.0
"Barsapara Cricket Stadium, Guwahati",1,0,185.625
Basin Reserve,0,0,165.0
Bay Oval,0,1,287.6666666666667
Bay Oval,1,0,163.0
"Bay Oval, Mount Maunganui",1,0,191.0
"Beausejour Stadium, Gros Islet",0,1,186.0
"Beausejour Stadium, Gros Islet",1,0,174.5
Bellerive Oval,0,1,235.66666666666666
"Bellerive Oval, Hobart",1,0,186.0
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,0,195.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,1,239.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,0,175.2608695652174
"Boland Bank Park, Paarl",0,1,204.0
"Boland Park, Paarl",0,1,293.0
Brabourne Stadium,0,0,393.0
Brabourne Stadium,0,1,377.0
Brabourne Stadium,1,0,179.0909090909091
"Brabourne Stadium, Mumbai",1,0,177.41176470588235
"Brian Lara Stadium, Tarouba, Trinidad",0,1,351.0
"Brian Lara Stadium, Tarouba, Trinidad",1,0,169.5
Brisbane Cricket Ground,0,0,369.0
Brisbane Cricket Ground,0,1,279.0
"Brisbane Cricket Ground, Woolloongabba",0,0,408.0
"Brisbane Cricket Ground, Woolloongabba",0,1,259.2
"Brisbane Cricket Ground, Woolloongabba",1,0,158.0
Buffalo Park,1,0,147.33333333333334
Captain Roop Singh Stadium,0,1,328.0
"Captain Roop Singh Stadium, Gwalior",0,1,283.0
Carrara Oval,1,0,167.0
Central Broward Regional Park Stadium Turf Ground,1,0,169.0
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",1,0,180.5
"City Oval, Pietermaritzburg",0,1,311.0
"Civil Service Cricket Club, Stormont",0,1,202.25
County Ground,0,1,329.0
County Ground,1,0,198.0
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",1,0,205.0
"Darren Sammy National Cricket Stadium, Gros Islet",0,0,353.0
"Davies Park, Queenstown",0,1,122.0
De Beers Diamond Oval,1,0,158.0
Dr DY Patil Sports Academy,1,0,146.64705882352942
"Dr DY Patil Sports Academy, Mumbai",1,0,170.7
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,478.5
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,1,296.14285714285717
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,150.33333333333334
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,0,396.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,1,193.5
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,0,205.28571428571428
Dubai International Cricket Stadium,0,1,231.2
Dubai International Cricket Stadium,1,0,157.83928571428572
Eden Gardens,0,0,314.85714285714283
Eden Gardens,0,1,302.1666666666667
Eden Gardens,1,0,158.5125
"Eden Gardens, Kolkata",0,0,159.0
"Eden Gardens, Kolkata",0,1,270.5
"Eden Gardens, Kolkata",1,0,191.53571428571428
Eden Park,0,0,503.0
Eden Park,0,1,236.33333333333334
Eden Park,1,0,164.33333333333334
"Eden Park, Auckland",0,1,306.0
Edgbaston,0,0,255.5
Edgbaston,0,1,246.11111111111111
Edgbaston,1,0,180.0
"Edgbaston, Birmingham",0,0,501.5
"Edgbaston, Birmingham",1,0,170.0
Feroz Shah Kotla,0,0,300.0
Feroz Shah Kotla,0,1,218.57142857142858
Feroz Shah Kotla,1,0,163.42372881355934
Gaddafi Stadium,0,1,291.3333333333333
Galle International Stadium,0,0,408.0
Green Park,0,0,408.3333333333333
Green Park,0,1,281.0
Green Park,1,0,158.4
"Green Park, Kanpur",0,0,233.0
Greenfield International Stadium,0,1,104.0
Greenfield International Stadium,1,0,118.5
"Greenfield International Stadium, Thiruvananthapuram",0,1,390.0
"Greenfield International Stadium, Thiruvananthapuram",1,0,204.0
Hagley Oval,0,0,242.0
Harare Sports Club,0,1,224.0
Harare Sports Club,1,0,152.58333333333334
Headingley,0,1,284.5
"Headingley, Leeds",0,0,274.5
Himachal Pradesh Cricket Association Stadium,0,0,300.0
Himachal Pradesh Cricket Association Stadium,0,1,214.5
Himachal Pradesh Cricket Association Stadium,1,0,178.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,0,218.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,1,273.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,0,186.25
Holkar Cricket Stadium,0,0,353.5
Holkar Cricket Stadium,0,1,319.3333333333333
Holkar Cricket Stadium,1,0,167.72727272727272
"Holkar Cricket Stadium, Indore",0,0,109.0
"Holkar Cricket Stadium, Indore",0,1,373.6666666666667
"Holkar Cricket Stadium, Indore",1,0,227.0
Indian Petrochemicals Corporation Limited Sports Complex Ground,0,1,341.0
JSCA International Stadium Complex,0,0,497.0
JSCA International Stadium Complex,0,1,253.5
JSCA International Stadium Complex,1,0,150.77777777777777
"JSCA International Stadium Complex, Ranchi",0,0,353.0
"JSCA International Stadium Complex, Ranchi",0,1,313.5
"JSCA International Stadium Complex, Ranchi",1,0,164.5
"Jade Stadium, Christchurch",0,1,108.0
Keenan Stadium,0,1,223.0
Kennington Oval,0,0,357.0
Kennington Oval,0,1,286.5
"Kennington Oval, London",0,0,294.6666666666667
"Kennington Oval, London",0,1,110.0
"Kensington Oval, Bridgetown",1,0,176.5
"Kensington Oval, Bridgetown, Barbados",0,1,147.5
"Kensington Oval, Bridgetown, Barbados",1,0,176.0
Khan Shaheb Osman Ali Stadium,0,1,271.5
Kingsmead,0,0,289.0
Kingsmead,0,1,271.5
Kingsmead,1,0,157.72222222222223
"Kingsmead, Durban",0,1,260.0
"Kingsmead, Durban",1,0,202.0
Kinrara Academy Oval,0,1,228.0
"Kotambi Stadium, Vadodara",0,1,300.0
"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",0,1,353.0
Lord's,0,0,292.0
Lord's,0,1,237.66666666666666
Lord's,1,0,153.0
"Lord's, London",0,0,375.5
"Lord's, London",0,1,258.5
M Chinnaswamy Stadium,0,0,344.0
M Chinnaswamy Stadium,0,1,267.75
M Chinnaswamy Stadium,1,0,167.16923076923078
"M Chinnaswamy Stadium, Bengaluru",0,0,149.0
