venue,is_t20,is_odi,v_pp_runs,v_pp_wkts,v_pp_rr,v_mo_runs,v_mo_wkts,v_mo_rr,v_do_runs,v_do_wkts,v_do_rr,v_boundary_pct,v_dot_pct
AMI Stadium,0,1,78.0,2.0,5.85,76.0,2.0,4.0,630.0,6.0,8.873239436619718,0.5102040816326531,0.43548387096774194
AMI Stadium,1,0,168.0,9.0,9.333333333333334,168.0,12.0,6.0,150.0,3.0,9.677419354838708,0.4691358024691358,0.43089430894308944
Adelaide Oval,0,0,41.6,1.2,3.3377685377685373,51.2,2.0,2.7995959595959596,625.2,14.4,3.6121507814987597,0.43499206786156297,0.7266650795754418
Adelaide Oval,0,1,44.0,1.3333333333333333,3.5415678836731472,72.33333333333333,2.6666666666666665,3.937698412698413,407.6666666666667,12.0,5.739310957157307,0.36372540331336806,0.4970861504806208
Adelaide Oval,1,0,129.0,4.0,6.754054054054055,229.0,4.0,8.266883116883117,182.0,7.0,11.512096774193546,0.5045445868757618,0.3495627680686256
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,0,1,52.0,0.0,4.105263157894737,64.0,8.0,3.4909090909090907,402.0,6.0,5.97029702970297,0.416988416988417,0.5457627118644067
Arbab Niaz Stadium,0,1,52.0,3.0,3.769369369369369,94.0,1.0,4.7593220338983055,426.0,15.0,5.970585677638159,0.5120951619352259,0.5898236201732536
Arun Jaitley Stadium,0,0,26.0,2.0,2.1081081081081083,64.0,2.0,3.5555555555555554,372.0,16.0,2.277551020408163,0.4675324675324675,0.8209982788296041
Arun Jaitley Stadium,0,1,91.0,1.0,7.583333333333334,89.0,2.0,4.9050505050505055,395.0,14.0,5.576335370714855,0.4391622985827994,0.48514851485148514
Arun Jaitley Stadium,1,0,57.0,1.5333333333333334,7.572562035719931,89.13333333333334,2.6666666666666665,7.435863721965417,68.6,2.6666666666666665,10.45459936173883,0.4940199904299425,0.3749102461007478
"Arun Jaitley Stadium, Delhi",0,0,34.0,0.0,2.7905405405405403,57.0,0.0,3.166666666666667,690.0,15.0,3.661443522404125,0.5553826504396846,0.7153256464886995
"Arun Jaitley Stadium, Delhi",0,1,38.0,2.0,3.166666666666667,46.0,4.0,2.4642857142857144,114.0,14.0,4.5600000000000005,0.48484848484848486,0.6766467065868264
"Arun Jaitley Stadium, Delhi",1,0,74.64,1.6,9.576248830839331,107.24,2.72,8.83406959928557,71.84,3.32,11.076937797453928,0.54683999497912,0.3624890812066466
Bangabandhu National Stadium,0,0,40.0,2.0,3.3333333333333335,50.0,6.0,2.727272727272727,278.0,12.0,3.2325581395348832,0.5434782608695652,0.7707736389684814
Bangabandhu National Stadium,0,1,40.0,0.0,3.3333333333333335,174.0,2.0,9.321428571428571,482.0,8.0,6.725581395348838,0.4942528735632184,0.44299674267100975
Barabati Stadium,0,1,63.333333333333336,1.6666666666666667,5.002535227535227,90.66666666666667,1.6666666666666667,4.980242905242905,439.0,9.666666666666666,6.243166452747764,0.47414591509841003,0.5017858796012492
Barabati Stadium,1,0,61.55555555555556,2.4444444444444446,6.847107633949739,94.11111111111111,3.4444444444444446,7.637626124407733,65.44444444444444,3.111111111111111,9.516578817907092,0.4741470020408797,0.37094137864645355
"Barabati Stadium, Cuttack",0,1,72.0,1.0,5.743954480796586,91.0,1.0,5.001010101010101,387.0,17.0,5.4478783202909735,0.42035729567821994,0.48558312548378774
"Barabati Stadium, Cuttack",1,0,123.0,4.5,6.738738738738739,214.5,10.5,7.3965517241379315,147.0,3.0,9.483870967741936,0.4925868725868726,0.4263174603174603
Barsapara Cricket Stadium,0,1,52.0,2.0,4.333333333333333,118.0,2.0,6.321428571428571,474.0,12.0,6.6139534883720925,0.484472049689441,0.495114006514658
Barsapara Cricket Stadium,1,0,114.0,12.0,6.333333333333334,141.0,9.0,5.035714285714286,99.0,9.0,6.0,0.3728813559322034,0.512
"Barsapara Cricket Stadium, Guwahati",0,0,24.0,0.0,2.0,70.0,0.0,3.888888888888889,884.0,20.0,3.226277372262774,0.47443762781186094,0.7291666666666666
"Barsapara Cricket Stadium, Guwahati",0,1,84.0,0.0,7.0,120.0,0.0,6.545454545454545,542.0,14.0,7.598130841121495,0.4932975871313673,0.38688524590163936
"Barsapara Cricket Stadium, Guwahati",1,0,88.75,2.25,8.777729090550014,145.0,4.25,8.242511320097528,104.875,3.625,10.01649005643313,0.5506802432343334,0.38248732054365747
Basin Reserve,0,0,40.0,2.0,3.3333333333333335,30.0,0.0,1.6666666666666667,260.0,18.0,2.4299065420560746,0.46060606060606063,0.8004866180048662
Bay Oval,0,1,57.333333333333336,1.3333333333333333,4.687134502923977,91.33333333333333,2.0,5.01058201058201,426.6666666666667,10.666666666666666,5.95714960550944,0.4239795350906462,0.4849625263953525
Bay Oval,1,0,159.0,3.0,8.594594594594595,192.0,3.0,7.111111111111111,138.0,6.0,8.903225806451612,0.44171779141104295,0.3770491803278688
"Bay Oval, Mount Maunganui",1,0,126.0,3.0,6.300000000000001,231.0,6.0,8.555555555555555,216.0,9.0,13.935483870967744,0.5654450261780105,0.416
"Beausejour Stadium, Gros Islet",0,1,86.0,2.0,6.972972972972972,92.0,2.0,5.111111111111111,194.0,10.0,7.864864864864865,0.4731182795698925,0.46060606060606063
"Beausejour Stadium, Gros Islet",1,0,132.0,4.5,6.985446985446986,223.5,1.5,7.918495297805643,168.0,9.0,10.726814516129032,0.4543835345339402,0.3414803149606299
Bellerive Oval,0,1,43.333333333333336,1.3333333333333333,3.4551920341394027,76.0,2.0,4.195959595959596,352.0,10.0,5.027307065506087,0.31397543331900873,0.5579392541330258
"Bellerive Oval, Hobart",1,0,129.0,6.0,7.166666666666666,261.0,9.0,9.666666666666668,168.0,3.0,11.2,0.6021505376344086,0.35833333333333334
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,1,0,147.0,0.0,7.3500000000000005,240.0,3.0,8.421052631578947,198.0,3.0,12.375,0.4717948717948718,0.31007751937984496
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,1,47.0,1.0,3.916666666666667,73.0,4.0,3.863984674329502,358.0,8.0,5.919860937778571,0.41844232826502514,0.5619204777620619
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,0,57.17391304347826,1.4782608695652173,8.000356808137129,82.6086956521739,2.782608695652174,7.813715804010866,61.391304347826086,2.9130434782608696,9.77230688964663,0.45692536539208484,0.36122416350384645
"Boland Bank Park, Paarl",0,1,18.0,0.0,1.5,98.0,4.0,5.25,292.0,16.0,4.1913875598086126,0.27450980392156865,0.5813953488372093
"Boland Park, Paarl",0,1,71.33333333333333,1.3333333333333333,5.519568151147098,67.33333333333333,2.0,3.691582491582492,447.3333333333333,8.666666666666666,6.155125079946803,0.3733245440562514,0.480752054305109
Brabourne Stadium,0,0,62.0,0.0,4.894736842105263,84.0,0.0,4.666666666666667,640.0,20.0,3.983402489626556,0.539440203562341,0.6759581881533101
Brabourne Stadium,0,1,68.0,0.0,5.513513513513514,118.0,2.0,6.210526315789474,568.0,8.0,7.962616822429906,0.5305039787798409,0.4155844155844156
Brabourne Stadium,1,0,62.90909090909091,0.9090909090909091,8.217060867060868,79.9090909090909,2.909090909090909,7.572975137568438,66.45454545454545,2.8181818181818183,10.930202926278483,0.49386956912018626,0.36859061313494057
"Brabourne Stadium, Mumbai",1,0,56.35294117647059,1.411764705882353,9.016413603410507,74.11764705882354,2.4705882352941178,7.995381242214698,46.94117647058823,2.5294117647058822,8.99629781703953,0.534255680646313,0.41740548863073385
"Brian Lara Stadium, Tarouba, Trinidad",0,1,74.0,0.0,6.166666666666666,146.0,0.0,7.821428571428571,482.0,10.0,6.694444444444445,0.47863247863247865,0.4837662337662338
"Brian Lara Stadium, Tarouba, Trinidad",1,0,148.5,6.0,8.14864864864865,208.5,7.5,7.287561576354681,151.5,4.5,8.963636363636363,0.4673966796185094,0.3922551673228346
Brisbane Cricket Ground,0,0,30.0,2.0,2.3684210526315788,48.0,2.0,2.6666666666666665,660.0,16.0,3.2619439868204285,0.46612466124661245,0.7625178826895566
Brisbane Cricket Ground,0,1,53.0,0.0,4.250355618776672,103.0,3.0,5.549282296650718,402.0,7.0,5.620109546165884,0.2995923121723937,0.4367930594647017
"Brisbane Cricket Ground, Woolloongabba",0,0,34.0,0.0,2.833333333333333,90.0,2.0,5.0,692.0,18.0,3.635726795096322,0.49019607843137253,0.7140695915279879
"Brisbane Cricket Ground, Woolloongabba",0,1,45.6,0.8,3.6776671408250357,93.2,0.8,5.027995206300291,379.6,13.6,5.457482455877193,0.3089081128451049,0.5125209494199993
"Brisbane Cricket Ground, Woolloongabba",1,0,114.0,3.0,6.333333333333334,291.0,6.0,9.864406779661017,69.0,3.0,11.5,0.43037974683544306,0.38317757009345793
Buffalo Park,1,0,41.0,1.6666666666666667,6.304170369638919,56.333333333333336,1.6666666666666667,6.089314194577352,50.0,3.0,9.471774193548386,0.3983720256482752,0.4221401656885528
Captain Roop Singh Stadium,0,1,57.0,2.0,4.75,93.0,0.0,5.105050505050505,506.0,7.0,7.114691943127962,0.4368881717275439,0.4354982302998719
"Captain Roop Singh Stadium, Gwalior",0,1,38.0,2.0,3.0810810810810807,110.0,0.0,6.0,418.0,8.0,5.85981308411215,0.42402826855123676,0.5065359477124183
Carrara Oval,1,0,147.0,0.0,8.166666666666668,228.0,9.0,7.862068965517241,126.0,15.0,7.875,0.40718562874251496,0.38095238095238093
Central Broward Regional Park Stadium Turf Ground,1,0,163.0,5.0,8.553058321479375,232.0,4.0,8.263374344953291,112.0,11.0,7.134115347018572,0.46111343371259633,0.4470486216104707
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",1,0,168.0,5.25,8.832816839395786,222.0,7.5,7.933424077434967,151.5,9.0,9.196941844919786,0.4817336412514727,0.3477208591159623
"City Oval, Pietermaritzburg",0,1,62.0,0.0,4.769230769230769,92.0,2.0,4.928571428571429,468.0,2.0,6.530232558139535,0.42443729903536975,0.4774193548387097
"Civil Service Cricket Club, Stormont",0,1,29.0,2.5,2.3659909909909906,64.0,3.0,3.3982005604663943,311.5,10.0,5.320857583653757,0.36185188775132876,0.6040227970025227
County Ground,0,1,46.0,0.0,3.72972972972973,92.0,0.0,4.677966101694915,520.0,14.0,7.090909090909092,0.5227963525835866,0.5063291139240507
County Ground,1,0,219.0,0.0,12.166666666666666,231.0,12.0,8.399999999999999,144.0,15.0,9.600000000000001,0.6262626262626263,0.4049586776859504
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",1,0,180.0,3.0,9.72972972972973,306.0,9.0,11.127272727272727,129.0,3.0,8.6,0.5658536585365853,0.32786885245901637
"Darren Sammy National Cricket Stadium, Gros Islet",0,0,38.0,4.0,3.0810810810810807,80.0,0.0,4.444444444444445,588.0,16.0,2.5308464849354375,0.37393767705382436,0.7982233502538071
